Words,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
edit,0,0,0,0,0,0,0,0,0,0
editor,0,0,0,0,0,0,0,0,0,0
edukatif,0,0,0,0,0,0,0,0,0,0
efek,0,0,0,0,0,0,0,0,0,0
efektif,1,0,0,0,0,0,0,0,0,1
efisien,1,0,0,1,0,0,0,0,0,1
efisiensi,1,0,0,0,0,0,0,0,0,0
efusi,0,0,0,0,0,0,0,0,0,0
egenetika,0,0,0,0,0,0,0,0,0,0
ego,0,1,1,0,1,1,0,1,0,0
egois,0,1,1,0,1,0,0,0,0,0
egoisme,0,1,1,0,0,0,0,0,0,0
eja,1,0,0,0,0,0,0,0,0,0
ejakulasi,1,0,0,1,0,0,1,0,1,1
ejawantah,0,0,0,0,0,0,0,0,0,0
ejek,0,1,1,0,1,0,0,1,0,0
eklektik,0,0,0,0,0,0,0,0,0,0
ekliptika,0,0,0,0,0,0,0,0,0,0
ekonomi,0,0,0,0,0,0,0,0,0,1
ekonomis,0,0,0,0,0,0,0,0,0,0
ekor,0,0,0,0,0,0,0,0,0,0
eksaserbasi,0,1,1,0,0,1,0,0,0,0
eksekusi,0,1,1,0,0,1,0,1,0,1
eksekutif,0,0,0,0,0,0,0,0,0,0
eksentrik,0,0,0,0,0,0,0,0,0,0
eksotik,1,0,0,0,0,0,0,0,0,0
ekspansi,0,0,0,0,0,0,0,0,0,0
ekspatriat,0,1,0,0,0,0,0,0,0,0
ekspedisi,1,0,0,1,0,0,0,0,0,0
eksperimen,0,0,0,0,0,0,0,0,0,0
eksperimental,0,0,0,0,0,0,0,0,0,0
eksploitasi,0,0,0,0,0,0,0,0,0,0
eksplosif,0,1,1,1,0,1,0,0,1,0
eksponen,0,0,0,0,0,0,0,0,0,0
eksponensial,0,0,0,0,0,0,0,0,0,0
ekspor,0,0,0,0,0,0,0,0,0,0
eksposisi,0,0,0,0,0,0,0,0,0,0
eksposur,0,0,0,0,0,0,0,0,0,0
ekspresi,0,0,0,0,0,0,0,0,0,0
ekspresif,0,0,0,0,0,0,0,0,0,0
ekstasi,1,0,0,1,0,0,1,0,0,0
ekstradisi,0,0,0,0,0,0,0,0,0,0
ekstrak,0,0,0,0,0,0,0,0,0,0
ekstraksi,0,0,0,0,0,0,0,0,0,0
ekstravaganza,0,0,0,0,0,0,0,0,0,0
ekstremitas,0,1,0,0,0,0,0,0,0,0
ekstrim,0,0,0,0,0,0,0,0,0,0
ekstrinsik,0,0,0,0,0,0,0,0,0,0
ekstrusi,0,0,0,0,0,0,0,0,0,0
ekumenis,0,0,0,0,0,0,0,0,0,0
elaborasi,1,0,0,0,0,0,0,0,0,0
elak,0,0,0,0,0,1,0,0,1,0
elang,0,0,0,0,0,1,0,0,0,0
elastis,1,0,0,0,0,0,0,0,0,0
elastisitas,0,0,0,0,0,0,0,0,0,0
elemen,0,0,0,0,0,0,0,0,0,0
eliminasi,0,1,1,0,1,1,0,1,0,0
elips,0,0,0,0,0,0,0,0,0,0
elipsis,0,0,0,0,0,0,0,0,0,0
elite,1,0,0,1,0,0,1,0,0,1
ellipsoid,0,0,0,0,0,0,0,0,0,0
elo,0,0,0,0,0,0,0,0,0,0
email,0,0,0,0,0,0,0,0,0,0
emansipasi,1,0,0,1,0,0,1,0,0,0
emas,1,0,0,0,0,0,0,0,0,0
embara,0,0,0,0,0,0,0,0,0,0
embargo,0,1,0,0,0,0,0,0,0,0
ember,0,0,0,0,0,0,0,0,0,0
emboli,0,1,0,0,0,1,0,1,0,0
embrio,0,0,0,0,0,0,0,0,0,0
embun,0,0,0,0,0,0,0,0,0,0
embun beku,0,0,0,0,0,0,0,0,0,0
emeritus,1,0,0,0,0,0,0,0,0,0
emigrasi,0,0,0,0,0,0,0,0,0,0
emis,0,1,0,0,0,0,0,1,0,0
emisi,0,0,0,0,0,0,0,0,0,0
emosi,0,0,0,0,0,0,0,0,0,0
emosional,0,0,0,0,0,0,0,0,0,0
empat,0,0,0,0,0,0,0,0,0,0
empat kali lipat,0,0,0,0,0,0,0,0,0,0
empat puluh,0,0,0,0,0,0,0,0,0,0
empati,1,0,0,0,0,0,0,0,0,0
empedu,0,1,1,0,1,0,0,0,0,0
empiris,0,0,0,0,0,0,0,0,0,0
empirisme,0,0,0,0,0,0,0,0,0,0
emporium,0,0,0,0,0,0,0,0,0,0
emption,0,0,0,0,0,0,0,0,0,0
emulsi,0,0,0,0,0,0,0,0,0,0
enak,1,0,0,0,0,0,1,0,0,0
enam,0,0,0,0,0,0,0,0,0,0
enam puluh,0,0,0,0,0,0,0,0,0,0
encang,0,0,1,0,0,0,0,0,0,0
encer,0,0,0,0,0,0,0,0,0,0
encok,0,1,0,0,0,0,0,0,0,0
endap,0,0,0,0,0,0,0,0,0,0
endemis,0,1,0,0,1,1,0,1,0,0
endokarditis,0,0,0,0,0,1,0,1,0,0
endpapers,0,0,0,0,0,0,0,0,0,0
enema,0,0,0,0,1,0,0,0,0,0
energi,0,0,0,0,0,0,0,0,0,0
energik,1,0,0,0,0,0,0,0,0,0
engah,0,1,0,0,0,1,0,0,0,0
enggan,0,1,1,0,1,1,0,0,0,0
engkol,0,1,0,0,0,0,0,0,0,0
engsel,0,0,0,0,0,0,0,0,0,0
enkripsi,0,0,0,0,0,0,0,0,0,0
ensiklopedi,1,0,0,0,0,0,0,0,0,1
entitas,0,0,0,0,0,0,0,0,0,0
epak,0,0,0,0,0,0,0,0,0,0
ephemeris,1,0,0,0,0,0,0,0,0,0
epik,1,0,0,0,0,0,0,0,0,0
epilepsi,0,1,0,0,0,0,0,0,0,0
epilog,0,0,0,0,0,0,0,0,0,0
episkopal,0,0,0,0,0,0,0,0,0,1
episode,0,0,0,0,0,0,0,0,0,0
episodik,0,0,0,0,0,0,0,0,0,0
era,0,0,0,0,0,0,0,0,0,0
erang,0,1,0,0,1,0,0,1,0,0
erosi,0,1,0,0,0,0,0,0,0,0
erotis,1,1,0,1,0,0,1,0,1,1
esa,0,0,0,0,0,0,0,0,0,0
esai,0,0,0,0,0,0,0,0,0,0
escalade,0,0,0,0,0,0,0,0,0,0
eseis,0,0,0,0,0,0,0,0,0,0
esensi,0,0,0,0,0,0,0,0,0,0
eskalator,0,0,0,0,0,0,0,0,0,0
esoterik,0,0,0,0,0,0,0,0,0,0
estetika,1,0,0,0,0,0,1,0,0,0
estetis,1,0,0,0,0,0,0,0,0,0
estoppel,0,0,0,0,0,0,0,0,0,0
estrogen,0,0,0,0,0,0,0,0,0,0
etanol,0,0,0,0,0,0,0,0,0,0
eter,0,0,0,0,0,0,0,0,0,0
etik,0,0,0,0,0,0,0,0,0,0
etika,1,0,0,0,0,0,0,0,0,0
etiket,0,0,0,0,0,0,0,0,0,0
etimologi,0,0,0,0,0,0,0,0,0,0
etiologi,0,0,0,0,0,0,0,0,0,0
etis,1,0,0,0,0,0,0,0,0,0
etnografi,0,0,0,0,0,0,0,0,0,0
etsa,0,0,0,0,0,0,0,0,0,0
euchre,0,0,0,0,0,0,0,0,0,0
eufemisme,0,0,0,0,0,0,0,0,0,0
euthanasia,0,1,0,0,0,1,0,1,0,0
evaluasi,0,0,0,0,0,0,0,0,0,0
evolusi,1,0,0,0,0,0,0,0,0,0
ewe,0,0,0,0,0,0,0,0,0,0
fabel,0,0,0,0,0,0,0,0,0,0
faedah,0,0,0,0,0,0,0,0,0,0
fairway,0,0,0,0,0,0,0,0,0,0
fajar,1,0,0,1,0,0,1,0,1,1
faksimil,0,0,0,0,0,0,0,0,0,0
fakta,1,0,0,0,0,0,0,0,0,1
faktor,0,0,0,0,0,0,0,0,0,0
faktur,0,0,0,0,0,0,0,0,0,0
fakultas,1,0,0,0,0,0,0,0,0,1
fana,0,1,0,0,0,0,0,0,0,0
fanatik,0,1,1,1,1,1,0,1,0,0
fanatisme,0,0,0,0,0,1,0,0,0,0
fandango,0,0,0,0,0,0,0,0,0,0
fantasi,0,0,0,0,0,0,0,0,0,0
fantasia,0,0,0,0,0,0,0,0,0,0
fantastis,0,1,0,0,1,0,0,0,0,0
farmakologi,0,0,0,0,0,0,0,0,0,0
farmasi,1,0,0,0,0,0,0,0,0,0
faro,0,0,0,0,0,0,0,0,0,0
fasad,0,0,0,0,0,0,0,0,0,0
fasih,1,0,0,0,0,0,0,0,0,0
fasik,0,1,0,0,0,0,0,1,0,0
fasilitas,0,0,0,0,0,0,0,0,0,0
fatal,0,1,1,0,0,1,0,1,0,0
fatamorgana,0,0,0,0,0,0,0,0,0,0
fauna,0,0,0,0,0,0,0,0,0,0
favorit,1,0,0,0,0,0,1,0,0,1
federal,0,0,0,0,0,0,0,0,0,0
federasi,0,0,0,0,0,0,0,0,0,0
fenomena,0,0,0,0,0,0,0,0,0,0
feodal,0,1,0,0,0,0,0,0,0,0
feodalisme,0,1,1,0,0,0,0,1,0,0
feri,0,0,0,0,0,0,0,0,0,0
fermentasi,0,0,0,1,0,0,0,0,0,0
feses,0,1,0,0,1,0,0,0,0,0
festival,1,0,0,1,0,0,1,0,1,0
figuratif,0,0,0,0,0,0,0,0,0,0
fiksasi,0,0,0,0,0,0,0,0,0,0
fiksi,0,0,0,0,0,0,0,0,0,0
filamen,0,0,0,0,0,0,0,0,0,0
filibuster,0,1,0,0,0,0,0,0,0,0
fillet,0,0,0,0,0,0,0,0,0,0
film,0,0,0,0,0,0,0,0,0,0
filogeni,0,0,0,0,0,0,0,0,0,0
filosofis,0,0,0,0,0,0,0,0,0,0
filsafat,0,0,0,0,0,0,0,0,0,0
filsuf,1,0,0,0,0,0,0,0,0,1
finalitas,0,0,0,0,0,0,0,0,0,0
finch,0,0,0,0,0,0,0,0,0,0
finis,0,0,0,0,0,0,0,0,0,0
firasat,0,1,0,1,0,1,0,0,0,0
fisik,0,0,0,0,0,0,0,0,0,0
fisika,1,0,0,0,0,0,0,0,0,0
fisiologi,1,0,0,0,0,0,0,0,0,0
fiskal,0,0,0,0,0,0,0,0,0,0
fissile,0,0,0,0,0,0,0,0,0,0
fitnah,0,1,1,0,1,0,0,0,0,0
fitting,1,0,0,0,0,0,0,0,0,0
fitur,1,0,0,0,0,0,0,0,0,0
flanel,0,0,0,0,0,0,0,0,0,0
flash,0,0,0,0,0,0,0,0,0,0
fleksibel,0,0,0,0,0,0,0,0,0,0
fleksibilitas,1,0,0,0,0,0,0,0,0,0
flens,0,0,0,0,0,0,0,0,0,1
flora,0,0,0,0,0,0,0,0,0,0
flu,0,1,0,0,0,1,0,0,0,0
fluktuasi,0,1,1,0,0,1,0,0,0,0
fluoresens,0,0,0,0,0,0,0,0,0,0
fob,0,0,0,0,0,0,0,0,0,0
fokus,1,0,0,1,0,0,0,0,0,0
folikular,0,0,0,0,0,0,0,0,0,0
folio,0,0,0,0,0,0,0,0,0,0
fonetik,0,0,0,0,0,0,0,0,0,0
fonetis,1,0,0,0,0,0,0,0,0,0
fonik,0,0,0,0,0,0,0,0,0,0
fonograf,0,0,0,0,0,0,0,0,0,0
fonologi,0,0,0,0,0,0,0,0,0,0
font,0,0,0,0,0,0,0,0,0,0
forceps,0,0,0,0,0,0,0,0,0,0
forensik,0,0,0,0,0,0,0,0,0,0
forking,0,0,0,0,0,0,0,0,0,0
formal,0,0,0,0,0,0,0,0,0,0
formalitas,0,0,0,0,0,0,0,0,0,1
formatif,1,0,0,0,0,0,0,0,0,1
formularium,0,0,0,0,0,0,0,0,0,0
forsooth,0,0,0,0,0,0,0,0,0,0
forum,0,0,0,0,0,0,0,0,0,0
fosfor,0,0,0,0,0,0,0,0,0,0
fosil,0,0,0,0,0,0,0,0,0,0
foto,0,0,0,1,0,0,1,0,0,0
fotogenik,0,0,0,0,0,0,0,0,0,0
fotografi,0,0,0,0,0,0,0,0,0,0
fotometri,0,0,0,0,0,0,0,0,0,0
fragmentaris,0,0,0,0,0,0,0,0,0,0
fraksi,0,0,0,0,0,0,0,0,0,0
frasa,0,0,0,0,0,0,0,0,0,0
fraseologi,0,0,0,0,0,0,0,0,0,0
freehold,0,0,0,0,0,0,0,0,0,0
freezer,0,0,0,0,0,0,0,0,0,0
frekuensi,0,0,0,0,0,0,0,0,0,0
frigat,0,0,0,0,0,1,0,0,0,0
frontal,0,0,0,0,0,0,0,0,0,0
fronting,0,0,0,0,0,0,0,0,0,0
frustrasi,0,1,1,0,0,0,0,0,0,0
fungsi,0,0,0,0,0,0,0,0,0,0
fungsional,0,0,0,0,0,0,0,0,0,0
funk,0,1,0,0,0,0,0,1,0,0
fusi,1,0,0,0,0,0,0,0,0,0
gabung,1,0,0,1,0,0,0,0,0,0
gabung kembali,0,0,0,0,0,0,0,0,0,0
gadai,0,1,0,0,0,0,0,0,0,1
gading,0,0,0,0,0,0,0,0,0,0
gaduh,0,1,0,0,0,0,0,0,0,0
gagah,1,0,0,0,0,0,0,0,0,0
gagak,0,0,0,0,0,0,0,0,0,0
gagal,0,1,1,1,0,1,0,1,0,0
gagap,0,0,0,0,0,0,0,0,0,0
gagas,1,0,0,0,0,0,0,0,0,0
gaib,0,1,0,0,1,1,0,0,0,0
gairah,1,0,0,1,0,0,1,0,0,1
gajah,0,0,0,0,0,0,0,0,0,0
gaji,1,0,0,1,0,0,1,0,0,1
gala,0,0,0,0,0,0,0,0,0,0
galaksi,0,0,0,0,0,0,0,0,0,0
galeri,0,0,0,0,0,0,0,0,0,0
gali,0,1,0,1,0,0,0,0,1,0
galur,0,0,0,0,0,0,0,0,0,0
galvanik,0,0,0,0,0,0,0,0,0,0
gambar,0,0,0,0,0,0,0,0,0,0
gambar muka,0,0,0,0,0,0,0,0,0,0
gambar potong logam,0,0,0,0,0,0,0,0,0,0
gambut,0,0,0,0,0,0,0,0,0,0
game,0,0,0,0,0,0,0,0,0,0
gammon,0,0,0,0,0,0,0,0,0,0
ganas,0,1,1,0,1,1,0,0,0,0
gandar,0,0,0,0,0,0,0,0,0,0
gandum,0,0,0,0,0,0,0,0,0,0
gandum hitam,0,0,0,0,0,0,0,0,0,0
gang,0,1,1,0,0,1,0,0,0,0
ganggu,0,1,1,0,1,0,0,0,0,0
ganggu cerna,0,0,0,0,0,0,0,0,0,0
ganja,0,1,0,0,0,0,0,0,0,0
ganjil,0,0,0,0,0,0,0,0,0,0
gantang,0,0,0,0,0,0,0,0,0,0
ganti,0,1,0,0,0,0,0,0,0,0
ganti rugi,0,1,0,0,0,0,0,1,0,0
gantung,0,1,1,0,1,1,0,1,0,0
gaok,0,0,0,0,0,0,0,0,0,0
garam,0,0,0,0,0,0,0,0,0,0
garasi,0,0,0,0,0,0,0,0,0,0
garing,0,1,0,0,0,0,0,0,0,1
garis,0,1,0,0,0,0,0,0,0,0
garis bawah,1,0,0,0,0,0,0,0,0,0
garis besar,0,0,0,0,0,0,0,0,0,0
garis bujur,0,0,0,0,0,0,0,0,0,0
garis miring,0,0,0,0,0,0,0,0,0,0
garis singgung,0,0,0,0,0,0,0,0,0,0
garis turun,0,0,0,0,0,0,0,0,0,0
garmen,0,0,0,0,0,0,0,0,0,0
garnet,1,0,0,0,0,0,0,0,0,0
garnisun,1,0,0,0,0,0,0,0,0,1
garpu,0,0,0,0,0,0,0,0,0,0
garter,0,0,0,0,0,0,0,0,0,0
garuk,0,0,0,0,0,0,0,0,0,0
gas,0,0,0,0,0,0,0,0,0,0
gasak,0,1,1,0,1,1,0,1,0,0
gasifikasi,0,0,0,0,0,0,0,0,0,0
gatal,0,0,0,0,0,0,0,0,0,0
gauging,0,0,0,0,0,0,0,0,0,1
gaul,0,0,0,0,0,0,0,0,0,0
gaun,0,0,0,0,0,0,0,0,0,0
gawang,1,0,0,0,0,0,0,0,0,0
gaya,0,0,0,0,0,0,0,0,0,0
gazebo,0,0,0,0,0,0,0,0,0,0
gedebuk,0,0,0,0,0,0,0,0,0,0
gedung,0,0,0,0,0,0,0,0,0,0
gedung adil,0,0,0,0,0,0,0,0,0,0
gegabah,0,1,0,0,0,0,0,0,0,0
gegar,0,1,1,0,0,0,0,1,0,0
gegas,0,0,0,1,0,0,0,0,0,0
gejala,0,1,0,0,0,0,0,0,0,0
gejolak,0,1,0,1,0,0,0,0,0,0
gel,0,0,0,0,0,0,0,0,0,0
gelandang,0,1,0,0,1,1,0,1,0,0
gelang,0,0,0,0,0,0,0,0,0,0
gelang kaki,0,0,0,0,0,0,0,0,0,0
gelang tangan,0,0,0,0,0,0,0,0,0,0
gelanggang balap mobil,0,0,0,0,0,0,0,0,0,0
gelanggang es,0,0,0,0,0,0,0,0,0,0
gelap,0,1,0,0,0,1,0,1,0,0
gelar,1,0,0,0,0,0,0,0,0,0
gelar uskup,0,0,0,0,0,0,0,0,0,0
gelas,0,0,0,0,0,0,0,0,0,0
gelas kimia,0,0,0,0,0,0,0,0,0,0
gelas minum,0,0,0,0,0,0,0,0,0,0
gelding,0,0,0,0,0,0,0,0,0,0
geledah,0,0,0,0,0,0,0,0,0,0
gelegar,0,1,0,0,0,1,0,1,0,0
gelembung,0,0,0,0,0,0,0,0,0,0
gelendong,0,0,0,0,0,0,0,0,0,0
gelenyar,0,0,0,0,0,0,0,0,0,0
gelepar,0,1,0,0,0,1,0,1,0,0
geli,0,1,0,0,1,0,0,0,0,0
geliat,0,1,0,0,1,0,0,0,0,0
gelincir,0,1,0,0,0,0,0,0,1,0
gelisah,0,1,0,1,0,1,0,0,0,0
gelitik,1,0,0,1,0,0,1,0,1,1
gelombang,0,0,0,0,0,0,0,0,0,0
gelora,0,0,0,0,0,0,0,0,0,0
gelut,1,0,0,0,0,0,1,0,0,0
gem,1,0,0,0,0,0,1,0,0,0
gema,0,0,0,0,0,0,0,0,0,0
gemar,1,0,0,1,0,0,1,0,1,0
gemas,1,0,0,0,0,0,1,0,0,0
gembala,1,0,0,0,0,0,0,0,0,1
gembel,0,1,0,0,0,1,0,1,0,0
gembira,1,0,0,1,0,0,1,0,1,1
gembira sekali,1,0,0,0,0,0,1,0,1,1
gembok,0,0,0,0,0,0,0,0,0,0
gemetar,0,1,0,0,0,1,0,0,0,0
gemini,0,0,0,0,0,0,0,0,0,0
gempa,0,0,0,0,0,1,0,0,0,0
gempa bumi,0,1,1,0,0,1,0,1,1,0
gempar,0,1,0,0,0,0,0,0,0,0
gemuk,0,1,0,0,0,0,0,0,0,0
gemuruh,0,1,1,0,0,1,0,0,0,0
genang,0,1,0,0,0,0,0,1,0,0
genang air,0,0,0,0,0,0,0,0,0,0
gencat senjata,1,0,0,0,0,0,1,0,0,1
gendut,0,1,0,0,1,0,0,0,0,0
generalisasi,0,0,0,0,0,0,0,0,0,0
generasi,0,0,0,0,0,0,0,0,0,0
generatif,0,0,0,0,0,0,0,0,0,0
generator,0,0,0,0,0,0,0,0,0,0
genetik,0,0,0,0,0,0,0,0,0,0
genetika,0,0,0,0,0,0,0,0,0,0
geng,0,0,0,0,0,0,0,0,0,0
genggam,0,0,0,0,0,0,0,0,0,0
gengsi,1,0,0,0,0,0,1,0,0,1
gent,0,1,1,0,1,1,0,0,0,0
gentar,0,1,0,1,0,1,0,0,1,0
genting,0,1,0,1,0,1,0,1,0,0
geografi,0,0,0,0,0,0,0,0,0,0
geologi,0,0,0,0,0,0,0,0,0,0
geometri,0,0,0,0,0,0,0,0,0,0
gerah,1,0,0,0,0,0,0,0,0,0
geraham,0,0,0,0,0,0,0,0,0,0
gerak,1,0,0,1,0,0,0,0,1,0
geram,0,1,1,0,1,1,0,0,0,0
gerbang,0,0,0,0,0,0,0,0,0,1
gerbong,0,0,0,0,0,0,0,0,0,0
gereja,1,0,0,1,0,0,1,0,0,1
gerejawi,0,0,0,0,0,0,0,0,0,0
gerenyet,0,1,1,0,1,1,0,1,0,0
gerhana,0,0,0,0,0,0,0,0,0,0
geriatrik,0,1,0,0,0,0,0,1,0,0
gerigi,0,0,0,0,0,0,0,0,0,0
gerilya,0,1,0,0,0,1,0,0,0,0
gerimis,0,0,0,0,0,0,0,0,0,0
gerincing,0,0,0,0,0,0,0,0,0,0
germane,0,0,0,0,0,0,0,0,0,0
germo,0,1,0,0,0,0,0,0,0,0
gerobak,0,0,0,0,0,0,0,0,0,0
gerobak dorong,0,0,0,0,1,0,0,0,0,0
gerombol,0,1,0,0,0,0,0,0,1,0
gertak,0,1,1,0,0,1,0,0,0,0
gerumit,0,0,0,0,0,0,0,0,0,0
gerutu,0,1,1,0,1,1,0,1,0,0
gesa,0,0,0,0,0,0,0,0,0,0
gesek,0,0,1,0,0,0,0,0,0,0
geser,0,0,0,0,0,0,0,1,0,0
gesit,0,0,0,0,0,0,0,0,0,0
gesper,0,0,0,0,0,0,0,0,0,0
getah,0,1,0,0,0,0,0,1,0,0
getah bening,0,0,0,0,0,0,0,0,0,0
getar,0,1,1,1,0,1,0,1,0,0
ghetto,0,1,0,0,1,1,0,1,0,0
giat,1,0,0,0,0,0,0,0,0,0
gigi,1,0,0,0,0,0,0,0,0,0
gigi taring,0,0,0,0,0,1,0,0,0,0
gigih,1,0,0,0,0,1,0,0,0,0
gigil,0,1,1,1,0,1,0,1,0,0
gigit,0,1,0,0,0,0,0,0,0,0
gila,0,1,1,0,1,1,0,1,1,0
giling,0,1,0,0,0,0,0,0,0,0
gilir,1,0,0,0,0,0,0,0,0,1
gimnastik,0,0,0,0,0,0,0,0,0,0
gimp,0,0,0,0,0,0,0,0,0,0
ginekologi,0,0,0,0,0,0,0,0,0,0
giok,0,0,0,0,0,0,0,0,0,0
gipsi,0,1,0,0,0,0,0,0,0,0
giring bola,0,0,0,0,0,0,0,0,0,0
giroskop,0,0,0,0,0,0,0,0,0,0
gitar,0,0,0,0,0,0,1,0,0,0
giur,0,0,0,1,0,0,0,0,0,0
gizi,1,0,0,0,0,0,0,1,0,0
glasial,0,1,0,0,0,0,0,0,0,0
gletser,0,0,0,0,0,0,0,0,0,0
gliserin,0,0,0,0,0,0,0,0,0,0
glosarium,0,0,0,0,0,0,0,0,0,0
gloss,1,0,0,0,0,0,0,0,0,0
glukosa,0,0,0,0,0,0,0,0,0,0
gnome,0,1,1,0,1,1,0,0,0,0
goa,0,0,0,0,0,0,0,0,0,0
goa besar,0,0,0,0,0,1,0,0,0,0
goblin,0,1,0,0,1,1,0,0,0,0
goda,0,1,1,1,0,0,0,1,0,0
godfather,0,0,0,0,0,0,0,0,0,0
golak,0,1,0,0,0,1,0,0,0,0
golf,0,0,0,0,0,0,0,0,0,0
golong,1,0,0,0,0,0,0,0,0,0
gondola,0,0,0,0,0,0,0,0,0,0
gong,0,0,0,0,0,0,0,0,0,0
gonorea,0,1,1,0,1,1,0,1,0,0
goo,0,1,0,0,1,0,0,0,0,0
goreng,0,0,0,0,0,0,0,0,0,0
gores,0,1,1,0,0,1,0,1,0,0
gorila,0,1,0,0,0,0,0,0,0,0
gorong,0,0,0,0,0,0,0,0,0,0
gosip,0,1,0,0,0,0,0,0,0,0
gosok,0,1,0,0,1,0,0,0,0,0
gourmet,0,0,0,0,0,0,0,0,0,0
goyah,0,1,1,1,0,1,0,0,0,0
goyang,0,0,0,0,0,0,0,0,0,0
gradasi,0,0,0,0,0,0,0,0,0,0
grader,0,0,0,0,0,0,0,0,0,0
gradien,0,0,0,0,0,0,0,0,0,0
grafik,0,0,0,0,0,0,0,0,0,1
grafis,0,0,0,0,0,0,0,0,0,0
gram,0,0,0,0,0,0,0,0,0,0
granat,0,1,0,0,0,1,0,0,0,0
grange,0,0,0,0,0,0,0,0,0,0
granit,0,0,0,0,0,0,0,0,0,0
granular,0,0,0,0,0,0,0,0,0,0
grasi,0,0,0,0,0,0,0,0,0,0
gratis,1,0,0,0,0,0,1,0,0,0
gravitasi,0,0,0,0,0,0,0,0,0,0
grifon,0,0,0,0,0,0,0,0,0,0
grizzly,0,1,0,0,0,1,0,0,0,0
grout,0,0,0,0,0,0,0,0,0,0
grub,0,0,0,0,0,0,0,0,0,0
gubernur,1,0,0,0,0,0,0,0,0,1
gubuk,0,1,0,0,1,0,0,1,0,0
gudang,0,1,0,0,0,0,0,0,0,0
gudang bawah tanah,0,0,0,0,0,1,0,0,0,0
gudang senjata,0,0,0,0,0,0,0,0,0,1
gugat,0,1,1,0,1,1,0,1,1,0
gugup,0,1,0,1,0,1,0,0,0,0
gugur,0,1,0,0,0,1,0,1,0,0
gugus,0,0,0,0,0,0,0,0,0,0
guillotine,0,1,1,1,1,1,0,1,0,0
guinea,0,0,0,0,0,0,0,0,0,0
gula,1,0,0,0,0,0,0,0,0,0
gula tetes,0,0,0,0,0,0,0,0,0,0
gulat,0,1,0,0,0,0,0,0,0,0
guling,0,1,0,1,0,1,0,0,0,0
gulir,0,0,0,0,0,0,0,0,0,0
gulma,0,1,0,0,0,0,0,1,0,0
gulung,0,0,0,0,0,0,0,0,0,0
gumam,0,1,1,0,0,0,0,0,0,0
gumpal,0,1,0,0,1,1,0,0,0,0
gumul,0,1,0,0,0,0,0,0,1,0
guna,1,0,0,0,0,0,0,0,0,0
guncang,0,0,0,0,0,0,0,0,0,0
gundu,0,0,0,0,0,0,0,0,0,0
gunting,0,0,0,0,0,0,0,0,0,0
guntur,0,0,0,0,0,0,0,0,0,0
gunung,0,0,0,1,0,0,0,0,0,0
gunung api,0,1,0,0,0,1,0,0,1,0
gunung es,0,0,0,0,0,0,0,0,0,0
gurih,1,0,0,0,0,0,0,0,0,0
gurita,0,0,0,0,1,0,0,0,0,0
guru,1,0,0,1,0,0,0,0,1,1
guru pria,0,0,0,0,0,0,0,0,0,0
guru tinggi,0,0,0,0,0,0,0,0,0,0
gurun,0,1,1,0,1,1,0,1,0,0
gusar,0,1,1,0,1,0,0,0,0,0
gusi,0,0,0,0,0,0,0,0,0,0
gusset,0,0,0,0,0,0,0,0,0,1
guyur,0,0,0,0,0,0,0,0,1,0
habis,0,1,0,0,0,0,0,1,0,0
habis bakar,0,0,0,0,0,0,0,0,0,0
habitat,1,0,0,0,0,0,0,0,0,0
hacienda,0,0,0,0,0,0,0,0,0,0
hadap,0,0,0,0,0,0,0,0,0,0
hadiah,1,0,0,1,0,0,1,0,1,1
hadir,1,0,0,1,0,0,0,0,0,0
hadirin,0,0,0,1,0,0,0,0,0,0
hafal,0,0,0,0,0,0,0,0,0,0
hag,0,1,0,0,1,1,0,0,0,0
haid,1,0,0,0,0,0,0,0,0,0
hak,0,1,1,0,0,1,0,0,0,0
hak cipta,0,0,0,0,0,0,0,0,0,1
hak gadai,0,0,0,0,0,0,0,0,0,1
hak istimewa,0,1,0,0,0,0,0,0,0,1
hak lahir,0,0,0,0,0,0,0,0,0,1
hak lebih tinggi,1,0,0,0,0,0,0,0,0,1
hak milik,0,0,0,0,0,0,0,0,0,0
hakiki,0,0,0,0,0,0,0,0,0,0
hakim,0,0,0,0,0,0,0,0,0,1
hal kembang,0,0,0,0,0,0,0,0,0,0
hal laku,0,0,0,0,0,0,0,0,0,0
hal masuk akal,0,0,0,0,0,0,0,0,0,0
hal perahu pesiar,0,0,0,0,0,0,0,0,0,0
halaman,0,0,0,0,0,0,0,0,0,0
halaman gereja,0,0,0,0,0,0,0,0,0,0
halaman rumput,0,0,0,0,0,0,0,0,0,0
halang,0,1,1,0,1,0,0,1,0,0
halter,0,1,1,0,0,1,0,1,0,0
halus,0,0,0,0,0,0,0,0,0,0
halusinasi,0,1,0,0,0,1,0,0,0,0
hama,0,1,1,0,1,1,0,0,0,0
hambar,0,1,0,0,1,0,0,0,0,0
hambat,0,1,1,0,0,1,0,1,0,0
hambur,0,0,0,0,0,0,0,0,0,0
hamil,0,1,0,0,1,0,0,0,0,0
hampa,0,1,0,0,1,0,0,0,0,0
hampar,0,0,0,0,0,0,0,0,0,0
hampir,0,0,0,0,0,0,0,0,0,0
hampir mati,0,1,0,0,0,0,0,1,1,0
hancur,0,1,1,0,1,1,0,1,0,0
handuk,0,0,0,0,0,0,0,0,0,0
